0,NaN
1,NaN
2,-1.0
3,0.59701234
4,-0.6099878
5,0.50676984
6,-0.31725
7,-0.0956514
8,-0.15504192
9,0.55008745
10,0.34489843
11,0.2994991
12,0.09864142
13,0.11843962
14,0.29243866
15,-0.13518684
16,0.16279878
17,-0.4367993
18,-0.16086033
19,-0.35672885
20,-0.3799313
21,-0.3826591
22,-0.32976106
23,-0.24668469
24,-0.41319084
25,-0.34536865
26,-0.49412766
27,-0.42163786
28,-0.4977525
29,-0.47191727
30,-0.49417084
31,-0.37628403
32,-0.37585878
33,-0.45740125
34,-0.4955654
35,-0.4456099
36,-0.41617602
37,-0.3365171
38,-0.40583575
39,-0.38330182
40,-0.24804442
41,-0.28002623
42,-0.16714375
43,-0.14178064
44,-0.031805757
45,-0.047117773
46,0.013206377
47,-0.004447983
48,0.12990399
49,0.13600427
50,0.11472082
51,0.17067768
52,0.10913344
53,0.16674384
54,0.1677514
55,0.16985653
56,0.17158848
57,0.1558518
58,0.12823565
59,0.13003993
60,0.13252328
61,0.17213923
62,0.16418166
63,0.13907692
64,0.15130574
65,0.105843015
66,0.12598816
67,0.11579917
68,0.11786703
69,0.14360218
70,0.13063961
71,0.13515747
72,0.121356644
73,0.07704854
74,0.06666315
75,0.07923532
76,0.086653545
77,0.11845987
78,0.073764615
79,0.034643706
80,0.02155109
81,0.0019165428
82,-0.010963647
83,-0.021624612
84,-0.030980796
85,-0.038064204
86,-0.047648683
87,-0.094322115
88,-0.14017399
89,-0.17317872
90,-0.18315236
91,-0.20196131
92,-0.21458295
93,-0.24762273
94,-0.25969964
95,-0.27714407
96,-0.29694164
97,-0.29684535
98,-0.30608293
99,-0.31522065
100,-0.32161155
101,-0.32874164
102,-0.32623988
103,-0.32333058
104,-0.325962
105,-0.33818278
106,-0.34358835
107,-0.34830073
108,-0.33434668
109,-0.331766
110,-0.33403045
111,-0.3315489
112,-0.33302993
113,-0.31815967
114,-0.30196106
115,-0.2845557
116,-0.28744143
117,-0.290682
118,-0.2934074
119,-0.2950717
120,-0.3104334
121,-0.3300598
122,-0.3543152
123,-0.3773381
124,-0.39113668
125,-0.40154672
126,-0.40862975
127,-0.41411906
128,-0.40390992
129,-0.36199617
130,-0.32851064
131,-0.30980423
132,-0.27319804
133,-0.26220697
134,-0.25241366
135,-0.260216
136,-0.26662692
137,-0.25532395
138,-0.22830325
139,-0.20742834
140,-0.18788692
141,-0.17024451
142,-0.160096
143,-0.1560842
144,-0.1550895
145,-0.15881312
146,-0.15439597
147,-0.14273778
148,-0.1469592
149,-0.1466632
150,-0.15399759
151,-0.15555108
152,-0.15466398
153,-0.1585728
154,-0.165221
155,-0.17342687
156,-0.18408342
157,-0.19124898
158,-0.20069352
159,-0.21388038
160,-0.21870919
161,-0.22433758
162,-0.23157598
163,-0.23639904
164,-0.24034542
165,-0.24203767
166,-0.24082227
167,-0.23942798
168,-0.24101354
169,-0.24305142
170,-0.24685122
171,-0.24562754
172,-0.24204557
173,-0.2322292
174,-0.22864209
175,-0.2257895
176,-0.2257968
177,-0.22385159
178,-0.21835656
179,-0.21364315
180,-0.20981176
181,-0.2040498
182,-0.19884384
183,-0.1862578
184,-0.17792854
185,-0.17531835
186,-0.17266372
187,-0.1741928
188,-0.17757022
189,-0.1753235
190,-0.17902638
191,-0.18624285
192,-0.1919403
193,-0.18976136
194,-0.19843675
195,-0.2080278
196,-0.2123891
197,-0.21869858
198,-0.22404389
199,-0.22507414
200,-0.22668065
201,-0.22751066
202,-0.23047507
203,-0.23069005
204,-0.23039919
205,-0.230541
206,-0.23099782
207,-0.23346078
208,-0.2332264
209,-0.23421367
210,-0.23247552
211,-0.23425785
212,-0.23355329
213,-0.23454796
214,-0.23710558
215,-0.23193303
216,-0.23553002
217,-0.23555472
218,-0.23229522
219,-0.23458882
220,-0.2368087
221,-0.2377985
222,-0.24527092
223,-0.24724334
224,-0.25202876
225,-0.25263304
226,-0.2526909
227,-0.2492119
228,-0.24696839
229,-0.2429784
230,-0.23787484
231,-0.23164728
232,-0.2239681
233,-0.21751542
234,-0.21129876
235,-0.20066112
236,-0.19230649
237,-0.18034546
238,-0.1718524
239,-0.1632397
240,-0.15808024
241,-0.15185419
242,-0.14453849
243,-0.1358061
244,-0.12748516
245,-0.120113246
246,-0.11513912
247,-0.1076561
248,-0.09822514
249,-0.09489424
250,-0.08556279
251,-0.07845742
252,-0.07613426
253,-0.07172201
254,-0.06467286
255,-0.0613973
256,-0.0649521
257,-0.06952988
258,-0.08623848
259,-0.08993125
260,-0.10292987
261,-0.102378264
262,-0.105083086
263,-0.10185253
264,-0.09473566
265,-0.0989376
266,-0.09459423
267,-0.096656896
268,-0.09270513
269,-0.09284501
270,-0.09306658
271,-0.0941501
272,-0.09611403
273,-0.098315634
274,-0.09981981
275,-0.10527941
276,-0.110374965
277,-0.116515234
278,-0.12158227
279,-0.12666024
280,-0.12832004
281,-0.131911
282,-0.13217425
283,-0.13275711
284,-0.13663468
285,-0.1365174
286,-0.13382013
287,-0.13504697
288,-0.13849442
289,-0.1386589
290,-0.14276853
291,-0.14476974
292,-0.14485024
293,-0.14460084
294,-0.14522128
295,-0.14452927
296,-0.14476451
297,-0.14519614
298,-0.14293648
299,-0.14248498
300,-0.14445335
301,-0.14560686
302,-0.14610486
303,-0.14665745
304,-0.14667608
305,-0.15020676
306,-0.15628609
307,-0.161508
308,-0.16753414
309,-0.17866477
310,-0.19095238
311,-0.2018708
312,-0.21787804
313,-0.22695535
314,-0.23890504
315,-0.24888864
316,-0.25976828
